state,district,year,education_literacy_rate,healthcare_doctor_patient_ratio,infrastructure_road_density,digital_financial_inclusion_rate
West Bengal,Darjiling,2022,77.99,59.21,70.78,62.39
West Bengal,Darjiling,2023,79.82,62.13,74.44,66.78
West Bengal,Darjiling,2024,80.6,63.37,75.99,68.64
West Bengal,Darjiling,2025,78.98,60.78,72.75,64.75
West Bengal,Darjiling,2026,79.42,61.48,73.62,65.8
West Bengal,Jalpaiguri,2020,68.69,45.01,42.56,39.79
West Bengal,Jalpaiguri,2021,69.82,46.81,44.81,42.48
West Bengal,Jalpaiguri,2022,69.01,45.52,43.19,40.54
West Bengal,Jalpaiguri,2023,71.18,49.0,47.55,45.76
West Bengal,Jalpaiguri,2024,71.76,49.92,48.7,47.15
West Bengal,Jalpaiguri,2025,70.29,47.56,45.75,43.61
West Bengal,Jalpaiguri,2026,74.26,53.91,53.69,53.14
West Bengal,Koch Bihar,2020,68.42,48.76,26.22,30.57
West Bengal,Koch Bihar,2021,69.11,49.87,27.6,32.23
West Bengal,Koch Bihar,2022,71.88,54.31,33.15,38.89
West Bengal,Koch Bihar,2023,70.7,52.42,30.8,36.06
West Bengal,Koch Bihar,2024,75.0,59.29,39.38,46.36
West Bengal,Koch Bihar,2025,69.57,50.6,28.52,33.33
West Bengal,Koch Bihar,2026,75.24,59.67,39.86,46.94
West Bengal,Uttar Dinajpur,2020,53.32,27.2,33.16,34.61
West Bengal,Uttar Dinajpur,2021,54.31,28.8,35.16,37.01
West Bengal,Uttar Dinajpur,2022,53.87,28.09,34.28,35.95
West Bengal,Uttar Dinajpur,2023,58.52,35.53,43.58,47.11
West Bengal,Uttar Dinajpur,2024,55.51,30.71,37.55,39.88
West Bengal,Uttar Dinajpur,2025,54.34,28.84,35.22,37.08
West Bengal,Uttar Dinajpur,2026,60.62,38.89,47.78,52.15
West Bengal,Dakshin Dinajpur,2020,67.49,36.21,42.14,40.43
West Bengal,Dakshin Dinajpur,2021,68.81,38.33,44.79,43.6
West Bengal,Dakshin Dinajpur,2022,72.39,44.04,51.93,52.18
West Bengal,Dakshin Dinajpur,2023,72.73,44.59,52.62,53.0
West Bengal,Dakshin Dinajpur,2024,72.67,44.49,52.49,52.85
West Bengal,Dakshin Dinajpur,2025,71.21,42.16,49.58,49.35
West Bengal,Dakshin Dinajpur,2026,75.6,49.19,58.36,59.89
West Bengal,Maldah,2020,55.14,32.29,36.7,37.65
West Bengal,Maldah,2021,55.38,32.68,37.19,38.23
West Bengal,Maldah,2022,59.96,40.01,46.35,49.22
West Bengal,Maldah,2023,55.37,32.67,37.18,38.22
West Bengal,Maldah,2024,57.0,35.27,40.43,42.12
West Bengal,Maldah,2025,60.5,40.87,47.43,50.52
West Bengal,Maldah,2026,61.35,42.22,49.12,52.55
West Bengal,Murshidabad,2020,60.77,39.21,36.57,37.46
West Bengal,Murshidabad,2021,64.01,44.4,43.05,45.24
West Bengal,Murshidabad,2022,65.33,46.52,45.7,48.42
West Bengal,Murshidabad,2023,61.65,40.63,38.34,39.58
West Bengal,Murshidabad,2024,65.13,46.19,45.29,47.93
West Bengal,Murshidabad,2025,67.46,49.92,49.95,53.52
West Bengal,Murshidabad,2026,66.64,48.62,48.32,51.56
West Bengal,Birbhum,2020,68.29,30.94,47.89,44.2
West Bengal,Birbhum,2021,68.95,31.99,49.2,45.77
West Bengal,Birbhum,2022,67.6,29.84,46.52,42.55
West Bengal,Birbhum,2023,68.23,30.84,47.77,44.05
West Bengal,Birbhum,2024,69.78,33.32,50.87,47.77
West Bengal,Birbhum,2025,68.23,30.83,47.76,44.04
West Bengal,Birbhum,2026,71.11,35.44,53.52,50.95
West Bengal,Barddhaman,2020,71.99,49.04,55.14,51.39
West Bengal,Barddhaman,2021,73.96,52.19,59.09,56.13
West Bengal,Barddhaman,2022,72.4,49.7,55.97,52.39
West Bengal,Barddhaman,2023,76.14,55.67,63.44,61.34
West Bengal,Barddhaman,2024,76.48,56.22,64.13,62.17
West Bengal,Barddhaman,2025,76.58,56.37,64.31,62.4
West Bengal,Barddhaman,2026,77.92,58.52,67.01,65.63
West Bengal,Nadia,2020,70.56,66.8,46.66,42.82
West Bengal,Nadia,2021,72.5,69.91,50.55,47.48
West Bengal,Nadia,2022,72.42,69.77,50.37,47.27
West Bengal,Nadia,2023,73.12,70.9,51.78,48.97
West Bengal,Nadia,2024,74.88,73.72,55.31,53.19
West Bengal,Nadia,2025,71.97,69.06,49.48,46.2
West Bengal,Nadia,2026,76.97,77.06,59.48,58.2
West Bengal,North Twenty Four Parganas,2020,82.09,79.61,68.43,66.19
West Bengal,North Twenty Four Parganas,2021,78.68,74.14,61.59,57.98
West Bengal,North Twenty Four Parganas,2022,81.1,78.03,66.45,63.81
West Bengal,North Twenty Four Parganas,2023,80.63,77.27,65.5,62.67
West Bengal,North Twenty Four Parganas,2024,85.21,84.59,74.66,73.66
West Bengal,North Twenty Four Parganas,2025,80.0,76.26,64.24,61.16
West Bengal,North Twenty Four Parganas,2026,83.95,82.58,72.14,70.64
West Bengal,Hugli,2020,79.97,64.84,71.01,62.17
West Bengal,Hugli,2021,77.86,61.46,66.78,57.09
West Bengal,Hugli,2022,77.87,61.48,66.81,57.12
West Bengal,Hugli,2023,78.08,61.81,67.23,57.63
West Bengal,Hugli,2024,79.6,64.25,70.27,61.27
West Bengal,Hugli,2025,78.37,62.27,67.8,58.31
West Bengal,Hugli,2026,77.73,61.25,66.52,56.77
West Bengal,Bankura,2020,64.4,19.19,38.39,35.56
West Bengal,Bankura,2021,68.69,26.05,46.97,45.84
West Bengal,Bankura,2022,69.3,27.03,48.2,47.32
West Bengal,Bankura,2023,66.1,21.91,41.79,39.63
West Bengal,Bankura,2024,67.32,23.87,44.24,42.57
West Bengal,Bankura,2025,72.17,31.62,53.93,54.2
West Bengal,Bankura,2026,70.5,28.95,50.59,50.19
West Bengal,Puruliya,2020,58.41,13.69,31.14,32.48
West Bengal,Puruliya,2021,60.01,16.25,34.34,36.31
West Bengal,Puruliya,2022,63.62,22.03,41.57,44.99
West Bengal,Puruliya,2023,60.74,17.41,35.79,38.06
West Bengal,Puruliya,2024,60.91,17.69,36.14,38.48
West Bengal,Puruliya,2025,60.49,17.02,35.31,37.48
West Bengal,Puruliya,2026,61.4,18.48,37.13,39.66
West Bengal,Haora,2020,78.2,63.01,66.65,58.04
West Bengal,Haora,2021,81.37,68.09,72.99,65.65
West Bengal,Haora,2022,77.36,61.66,64.97,56.02
West Bengal,Haora,2023,83.08,70.82,76.4,69.75
West Bengal,Haora,2024,80.6,66.85,71.44,63.79
West Bengal,Haora,2025,78.35,63.25,66.95,58.4
West Bengal,Haora,2026,81.95,69.01,74.14,67.03
West Bengal,Kolkata,2020,84.55,77.59,80.43,77.0
West Bengal,Kolkata,2021,85.6,79.26,82.52,79.51
West Bengal,Kolkata,2022,84.97,78.25,81.26,78.0
West Bengal,Kolkata,2023,83.71,76.24,78.75,74.98
West Bengal,Kolkata,2024,84.27,77.13,79.86,76.32
West Bengal,Kolkata,2025,86.05,79.98,83.42,80.59
West Bengal,Kolkata,2026,83.64,76.13,78.61,74.82
West Bengal,South Twenty Four Parganas,2020,70.46,55.12,43.8,46.32
West Bengal,South Twenty Four Parganas,2021,74.67,61.85,52.21,56.42
West Bengal,South Twenty Four Parganas,2022,71.4,56.63,45.68,48.59
West Bengal,South Twenty Four Parganas,2023,70.78,55.63,44.44,47.09
West Bengal,South Twenty Four Parganas,2024,74.8,62.07,52.49,56.75
West Bengal,South Twenty Four Parganas,2025,77.3,66.07,57.49,62.76
West Bengal,South Twenty Four Parganas,2026,73.97,60.73,50.82,54.75
West Bengal,Paschim Medinipur,2020,73.75,44.85,51.96,45.57
West Bengal,Paschim Medinipur,2021,72.51,42.88,49.49,42.62
West Bengal,Paschim Medinipur,2022,72.2,42.37,48.86,41.85
West Bengal,Paschim Medinipur,2023,76.38,49.06,57.22,51.89
West Bengal,Paschim Medinipur,2024,76.5,49.26,57.47,52.19
West Bengal,Paschim Medinipur,2025,77.92,51.53,60.31,55.59
West Bengal,Paschim Medinipur,2026,73.85,45.02,52.17,45.83
West Bengal,Purba Medinipur,2020,79.9,73.42,44.74,43.58
West Bengal,Purba Medinipur,2021,83.94,79.89,52.83,53.28
West Bengal,Purba Medinipur,2022,83.91,79.83,52.76,53.2
West Bengal,Purba Medinipur,2023,80.21,73.92,45.37,44.34
West Bengal,Purba Medinipur,2024,86.4,83.83,57.75,59.19
West Bengal,Purba Medinipur,2025,83.07,78.5,51.09,51.2
West Bengal,Purba Medinipur,2026,83.01,78.39,50.96,51.04
Jharkhand,Garhwa,2020,53.77,13.16,18.8,44.98
Jharkhand,Garhwa,2021,52.47,11.08,16.2,41.87
Jharkhand,Garhwa,2022,53.37,12.52,18.0,44.02
Jharkhand,Garhwa,2023,55.79,16.39,22.83,49.83
Jharkhand,Garhwa,2024,56.73,17.89,24.71,52.08
Jharkhand,Garhwa,2025,57.66,19.38,26.57,54.32
Jharkhand,Garhwa,2026,57.88,19.74,27.02,54.85
Jharkhand,Chatra,2020,53.5,15.84,21.73,49.45
Jharkhand,Chatra,2021,53.7,16.16,22.14,49.94
Jharkhand,Chatra,2022,55.48,19.01,25.69,54.21
Jharkhand,Chatra,2023,56.57,20.75,27.87,56.82
Jharkhand,Chatra,2024,55.71,19.37,26.15,54.76
Jharkhand,Chatra,2025,54.84,17.98,24.4,52.66
Jharkhand,Chatra,2026,53.65,16.08,22.04,49.82
Jharkhand,Kodarma,2020,60.95,22.77,54.07,67.56
Jharkhand,Kodarma,2021,57.11,16.62,46.38,58.33
Jharkhand,Kodarma,2022,57.65,17.48,47.47,59.64
Jharkhand,Kodarma,2023,57.98,18.02,48.14,60.44
Jharkhand,Kodarma,2024,60.69,22.35,53.55,66.94
Jharkhand,Kodarma,2025,58.2,18.36,48.56,60.95
Jharkhand,Kodarma,2026,65.47,30.0,63.11,78.41
Jharkhand,Giridih,2020,54.76,14.07,32.12,56.99
Jharkhand,Giridih,2021,58.43,19.94,39.46,65.8
Jharkhand,Giridih,2022,55.73,15.62,34.07,59.33
Jharkhand,Giridih,2023,57.14,17.88,36.89,62.72
Jharkhand,Giridih,2024,54.9,14.3,32.41,57.34
Jharkhand,Giridih,2025,58.24,19.63,39.07,65.34
Jharkhand,Giridih,2026,57.13,17.87,36.87,62.69
Jharkhand,Deoghar,2020,55.81,17.5,45.73,45.57
Jharkhand,Deoghar,2021,57.64,20.42,49.38,49.96
Jharkhand,Deoghar,2022,59.48,23.37,53.06,54.37
Jharkhand,Deoghar,2023,57.04,19.46,48.18,48.52
Jharkhand,Deoghar,2024,61.07,25.92,56.25,58.2
Jharkhand,Deoghar,2025,62.34,27.94,58.78,61.23
Jharkhand,Deoghar,2026,61.53,26.65,57.17,59.3
Jharkhand,Godda,2020,48.4,12.83,19.56,36.37
Jharkhand,Godda,2021,52.61,19.57,27.99,46.48
Jharkhand,Godda,2022,54.02,21.82,30.81,49.86
Jharkhand,Godda,2023,50.57,16.29,23.89,41.56
Jharkhand,Godda,2024,51.2,17.31,25.17,43.09
Jharkhand,Godda,2025,49.52,14.63,21.81,39.06
Jharkhand,Godda,2026,53.96,21.72,30.68,49.71
Jharkhand,Sahibganj,2020,47.26,21.61,23.88,37.45
Jharkhand,Sahibganj,2021,48.5,23.6,26.36,40.43
Jharkhand,Sahibganj,2022,44.99,17.97,19.33,31.99
Jharkhand,Sahibganj,2023,47.3,21.67,23.95,37.54
Jharkhand,Sahibganj,2024,50.9,27.43,31.15,46.18
Jharkhand,Sahibganj,2025,47.57,22.11,24.51,38.2
Jharkhand,Sahibganj,2026,46.07,19.71,21.51,34.6
Jharkhand,Pakur,2020,43.67,15.63,23.42,28.97
Jharkhand,Pakur,2021,44.39,16.78,24.86,30.7
Jharkhand,Pakur,2022,45.73,18.94,27.55,33.93
Jharkhand,Pakur,2023,46.95,20.89,29.98,36.85
Jharkhand,Pakur,2024,47.6,21.93,31.29,38.42
Jharkhand,Pakur,2025,45.89,19.19,27.87,34.31
Jharkhand,Pakur,2026,46.01,19.37,28.09,34.59
Jharkhand,Dhanbad,2020,67.68,35.52,71.37,57.97
Jharkhand,Dhanbad,2021,70.22,39.59,76.45,64.06
Jharkhand,Dhanbad,2022,69.51,38.45,75.03,62.36
Jharkhand,Dhanbad,2023,68.58,36.96,73.16,60.11
Jharkhand,Dhanbad,2024,71.5,41.64,79.01,67.14
Jharkhand,Dhanbad,2025,71.51,41.65,79.03,67.16
Jharkhand,Dhanbad,2026,70.97,40.78,77.94,65.86
Jharkhand,Bokaro,2020,65.07,31.06,60.64,54.99
Jharkhand,Bokaro,2021,68.09,35.89,66.68,62.24
Jharkhand,Bokaro,2022,67.59,35.08,65.68,61.03
Jharkhand,Bokaro,2023,67.95,35.66,66.4,61.9
Jharkhand,Bokaro,2024,70.46,39.67,71.41,67.91
Jharkhand,Bokaro,2025,69.96,38.87,70.41,66.71
Jharkhand,Bokaro,2026,72.82,43.44,76.13,73.57
Jharkhand,Lohardaga,2020,60.39,18.85,34.1,39.3
Jharkhand,Lohardaga,2021,61.12,20.02,35.57,41.06
Jharkhand,Lohardaga,2022,62.83,22.76,38.99,45.16
Jharkhand,Lohardaga,2023,63.59,23.97,40.51,46.99
Jharkhand,Lohardaga,2024,60.53,19.07,34.38,39.63
Jharkhand,Lohardaga,2025,65.26,26.64,43.85,50.99
Jharkhand,Lohardaga,2026,60.4,18.86,34.12,39.32
Jharkhand,Purbi Singhbhum,2020,68.64,43.44,69.08,52.32
Jharkhand,Purbi Singhbhum,2021,72.68,49.9,77.17,62.02
Jharkhand,Purbi Singhbhum,2022,72.64,49.85,77.1,61.94
Jharkhand,Purbi Singhbhum,2023,68.95,43.94,69.71,53.07
Jharkhand,Purbi Singhbhum,2024,75.14,53.84,82.09,67.93
Jharkhand,Purbi Singhbhum,2025,71.81,48.51,75.43,59.94
Jharkhand,Purbi Singhbhum,2026,71.74,48.41,75.3,59.78
Jharkhand,Palamu,2020,58.26,20.1,27.62,54.13
Jharkhand,Palamu,2021,56.75,17.68,24.59,50.49
Jharkhand,Palamu,2022,57.03,18.13,25.16,51.18
Jharkhand,Palamu,2023,59.64,22.3,30.37,57.43
Jharkhand,Palamu,2024,60.44,23.59,31.98,59.36
Jharkhand,Palamu,2025,58.83,21.0,28.75,55.48
Jharkhand,Palamu,2026,56.58,17.41,24.26,50.09
Jharkhand,Latehar,2020,53.29,17.01,33.9,36.75
Jharkhand,Latehar,2021,55.29,20.2,37.89,41.54
Jharkhand,Latehar,2022,53.28,16.98,33.88,36.71
Jharkhand,Latehar,2023,56.43,22.02,40.17,44.27
Jharkhand,Latehar,2024,52.5,15.74,32.32,34.85
Jharkhand,Latehar,2025,55.63,20.75,38.58,42.36
Jharkhand,Latehar,2026,52.59,15.89,32.51,35.07
Jharkhand,Hazaribagh,2020,63.43,23.49,56.37,64.81
Jharkhand,Hazaribagh,2021,61.74,20.78,52.98,60.74
Jharkhand,Hazaribagh,2022,62.82,22.51,55.15,63.34
Jharkhand,Hazaribagh,2023,63.06,22.89,55.62,63.9
Jharkhand,Hazaribagh,2024,66.84,28.94,63.17,72.97
Jharkhand,Hazaribagh,2025,65.76,27.21,61.01,70.37
Jharkhand,Hazaribagh,2026,65.78,27.25,61.07,70.44
Jharkhand,Ramgarh,2020,67.19,30.06,67.81,57.17
Jharkhand,Ramgarh,2021,67.29,30.23,68.02,57.42
Jharkhand,Ramgarh,2022,70.28,35.02,74.0,64.6
Jharkhand,Ramgarh,2023,69.01,32.97,71.45,61.53
Jharkhand,Ramgarh,2024,66.75,29.37,66.94,56.13
Jharkhand,Ramgarh,2025,67.73,30.92,68.89,58.46
Jharkhand,Ramgarh,2026,68.01,31.37,69.45,59.14
Jharkhand,Dumka,2020,54.08,13.32,25.38,30.69
Jharkhand,Dumka,2021,53.8,12.89,24.83,30.04
Jharkhand,Dumka,2022,56.86,17.79,30.95,37.39
Jharkhand,Dumka,2023,57.91,19.46,33.04,39.89
Jharkhand,Dumka,2024,57.68,19.09,32.59,39.35
Jharkhand,Dumka,2025,61.0,24.4,39.22,47.3
Jharkhand,Dumka,2026,56.85,17.76,30.92,37.35
Jharkhand,Jamtara,2020,57.39,13.53,33.62,38.35
Jharkhand,Jamtara,2021,61.07,19.4,40.96,47.16
Jharkhand,Jamtara,2022,58.37,15.08,35.57,40.69
Jharkhand,Jamtara,2023,59.78,17.34,38.39,44.08
Jharkhand,Jamtara,2024,57.54,13.76,33.91,38.7
Jharkhand,Jamtara,2025,60.87,19.09,40.57,46.69
Jharkhand,Jamtara,2026,59.77,17.33,38.37,44.05
Jharkhand,Ranchi,2020,71.03,39.88,58.88,58.75
Jharkhand,Ranchi,2021,70.73,39.41,58.29,58.04
Jharkhand,Ranchi,2022,72.98,43.01,62.79,63.45
Jharkhand,Ranchi,2023,72.58,42.36,61.98,62.47
Jharkhand,Ranchi,2024,70.86,39.62,58.56,58.36
Jharkhand,Ranchi,2025,73.73,44.21,64.29,65.25
Jharkhand,Ranchi,2026,74.44,45.34,65.7,66.94
Jharkhand,Khunti,2020,56.71,11.45,27.9,27.68
Jharkhand,Khunti,2021,57.98,13.48,30.43,30.72
Jharkhand,Khunti,2022,59.74,16.3,33.95,34.95
Jharkhand,Khunti,2023,56.93,11.8,28.33,28.21
Jharkhand,Khunti,2024,61.22,18.68,36.93,38.52
Jharkhand,Khunti,2025,58.63,14.53,31.74,32.29
Jharkhand,Khunti,2026,60.95,18.23,36.37,37.85
Jharkhand,Gumla,2020,57.25,12.63,18.9,30.04
Jharkhand,Gumla,2021,59.62,16.42,23.64,35.73
Jharkhand,Gumla,2022,62.62,21.22,29.64,42.94
Jharkhand,Gumla,2023,58.0,13.84,20.41,31.86
Jharkhand,Gumla,2024,59.43,16.13,23.27,35.29
Jharkhand,Gumla,2025,58.56,14.73,21.52,33.19
Jharkhand,Gumla,2026,62.67,21.31,29.75,43.06
Jharkhand,Simdega,2020,59.92,10.35,16.12,24.02
Jharkhand,Simdega,2021,61.74,13.28,19.77,28.41
Jharkhand,Simdega,2022,63.59,16.22,23.46,32.83
Jharkhand,Simdega,2023,61.14,12.32,18.57,26.97
Jharkhand,Simdega,2024,65.18,18.77,26.64,36.65
Jharkhand,Simdega,2025,66.44,20.79,29.17,39.68
Jharkhand,Simdega,2026,65.64,19.51,27.56,37.75
Jharkhand,Pashchimi Singhbhum,2020,51.32,13.45,36.24,26.0
Jharkhand,Pashchimi Singhbhum,2021,51.93,14.44,37.47,27.48
Jharkhand,Pashchimi Singhbhum,2022,52.7,15.67,39.01,29.33
Jharkhand,Pashchimi Singhbhum,2023,56.32,21.46,46.24,38.01
Jharkhand,Pashchimi Singhbhum,2024,55.94,20.84,45.48,37.09
Jharkhand,Pashchimi Singhbhum,2025,54.35,18.3,42.3,33.28
Jharkhand,Pashchimi Singhbhum,2026,52.6,15.51,38.81,29.08
Jharkhand,Saraikela-Kharsawan,2020,63.0,24.23,59.24,44.86
Jharkhand,Saraikela-Kharsawan,2021,64.09,25.97,61.42,47.48
Jharkhand,Saraikela-Kharsawan,2022,64.77,27.07,62.79,49.12
Jharkhand,Saraikela-Kharsawan,2023,60.86,20.8,54.95,39.72
Jharkhand,Saraikela-Kharsawan,2024,62.44,23.33,58.11,43.51
Jharkhand,Saraikela-Kharsawan,2025,61.86,22.4,56.96,42.13
Jharkhand,Saraikela-Kharsawan,2026,64.15,26.06,61.53,47.62
Orissa,Bargarh,2020,71.95,21.98,47.43,40.12
Orissa,Bargarh,2021,72.8,23.34,49.14,42.17
Orissa,Bargarh,2022,72.99,23.64,49.52,42.62
Orissa,Bargarh,2023,73.86,25.03,51.25,44.7
Orissa,Bargarh,2024,75.22,27.21,53.98,47.97
Orissa,Bargarh,2025,74.21,25.6,51.96,45.55
Orissa,Bargarh,2026,73.57,24.57,50.67,44.0
Orissa,Jharsuguda,2020,75.91,29.25,57.7,51.19
Orissa,Jharsuguda,2021,77.43,31.68,60.74,54.84
Orissa,Jharsuguda,2022,76.81,30.68,59.49,53.34
Orissa,Jharsuguda,2023,77.38,31.6,60.64,54.72
Orissa,Jharsuguda,2024,79.26,34.62,64.41,59.24
Orissa,Jharsuguda,2025,73.68,25.69,53.25,45.85
Orissa,Jharsuguda,2026,78.95,34.12,63.79,58.5
Orissa,Sambalpur,2020,73.1,26.84,51.11,46.41
Orissa,Sambalpur,2021,74.5,29.08,53.91,49.78
Orissa,Sambalpur,2022,73.92,28.16,52.76,48.39
Orissa,Sambalpur,2023,75.12,30.07,55.15,51.26
Orissa,Sambalpur,2024,75.39,30.5,55.68,51.9
Orissa,Sambalpur,2025,74.78,29.54,54.48,50.45
Orissa,Sambalpur,2026,77.81,34.38,60.53,57.72
Orissa,Debagarh,2020,69.89,17.61,35.92,35.11
Orissa,Debagarh,2021,67.78,14.23,31.7,30.05
Orissa,Debagarh,2022,69.04,16.24,34.22,33.06
Orissa,Debagarh,2023,70.07,17.89,36.28,35.54
Orissa,Debagarh,2024,69.51,17.0,35.16,34.19
Orissa,Debagarh,2025,73.42,23.25,42.98,43.58
Orissa,Debagarh,2026,68.59,15.52,33.32,31.99
Orissa,Sundargarh,2020,68.42,28.31,44.76,45.0
Orissa,Sundargarh,2021,70.54,31.71,49.01,50.11
Orissa,Sundargarh,2022,71.3,32.93,50.54,51.94
Orissa,Sundargarh,2023,72.59,34.99,53.11,55.02
Orissa,Sundargarh,2024,68.29,28.1,44.51,44.7
Orissa,Sundargarh,2025,73.33,36.17,54.59,56.8
Orissa,Sundargarh,2026,73.95,37.16,55.83,58.29
Orissa,Kendujhar,2020,62.6,17.38,29.58,33.39
Orissa,Kendujhar,2021,64.07,19.73,32.51,36.91
Orissa,Kendujhar,2022,65.63,22.24,35.64,40.67
Orissa,Kendujhar,2023,64.18,19.91,32.74,37.19
Orissa,Kendujhar,2024,61.9,16.26,28.18,31.71
Orissa,Kendujhar,2025,61.93,16.31,28.24,31.79
Orissa,Kendujhar,2026,66.75,24.02,37.87,43.34
Orissa,Mayurbhanj,2020,56.69,18.27,23.3,27.75
Orissa,Mayurbhanj,2021,59.67,23.02,29.24,34.88
Orissa,Mayurbhanj,2022,58.7,21.48,27.32,32.57
Orissa,Mayurbhanj,2023,63.22,28.72,36.36,43.42
Orissa,Mayurbhanj,2024,62.98,28.32,35.87,42.83
Orissa,Mayurbhanj,2025,60.68,24.64,31.27,37.31
Orissa,Mayurbhanj,2026,60.0,23.55,29.91,35.68
Orissa,Baleshwar,2020,76.46,31.85,56.61,53.3
Orissa,Baleshwar,2021,73.84,27.66,51.38,47.02
Orissa,Baleshwar,2022,72.81,26.01,49.32,44.55
Orissa,Baleshwar,2023,76.46,31.85,56.62,53.31
Orissa,Baleshwar,2024,77.81,34.01,59.32,56.55
Orissa,Baleshwar,2025,75.61,30.49,54.92,51.27
Orissa,Baleshwar,2026,74.74,29.1,53.18,49.18
Orissa,Bhadrak,2020,77.5,22.32,48.19,50.23
Orissa,Bhadrak,2021,78.88,24.53,50.94,53.53
Orissa,Bhadrak,2022,76.21,20.26,45.61,47.14
Orissa,Bhadrak,2023,79.67,25.79,52.52,55.43
Orissa,Bhadrak,2024,81.74,29.1,56.67,60.4
Orissa,Bhadrak,2025,82.27,29.96,57.74,61.68
Orissa,Bhadrak,2026,82.06,29.62,57.31,61.17
Orissa,Kendrapara,2020,78.38,17.73,45.01,45.91
Orissa,Kendrapara,2021,82.73,24.69,53.7,56.34
Orissa,Kendrapara,2022,80.98,21.89,50.2,52.14
Orissa,Kendrapara,2023,82.58,24.45,53.41,55.99
Orissa,Kendrapara,2024,83.96,26.67,56.18,59.31
Orissa,Kendrapara,2025,82.71,24.66,53.68,56.31
Orissa,Kendrapara,2026,84.62,27.71,57.49,60.88
Orissa,Jagatsinghapur,2020,83.55,27.03,50.3,55.39
Orissa,Jagatsinghapur,2021,84.32,28.27,51.85,57.25
Orissa,Jagatsinghapur,2022,83.78,27.4,50.77,55.95
Orissa,Jagatsinghapur,2023,85.39,29.98,53.99,59.81
Orissa,Jagatsinghapur,2024,87.44,33.25,58.08,64.73
Orissa,Jagatsinghapur,2025,83.48,26.93,50.17,55.24
Orissa,Jagatsinghapur,2026,82.72,25.7,48.64,53.4
Orissa,Cuttack,2020,81.98,34.56,54.9,50.58
Orissa,Cuttack,2021,79.22,30.14,49.38,43.96
Orissa,Cuttack,2022,81.21,33.33,53.37,48.74
Orissa,Cuttack,2023,83.93,37.68,58.8,55.26
Orissa,Cuttack,2024,85.92,40.87,62.79,60.05
Orissa,Cuttack,2025,85.99,40.99,62.94,60.22
Orissa,Cuttack,2026,84.34,38.34,59.63,56.25
Orissa,Jajapur,2020,75.81,25.52,45.89,44.75
Orissa,Jajapur,2021,76.78,27.07,47.83,47.07
Orissa,Jajapur,2022,74.44,23.33,43.15,41.46
Orissa,Jajapur,2023,76.74,27.01,47.76,46.99
Orissa,Jajapur,2024,78.27,29.46,50.82,50.66
Orissa,Jajapur,2025,79.76,31.83,53.79,54.22
Orissa,Jajapur,2026,78.38,29.63,51.03,50.91
Orissa,Dhenkanal,2020,71.9,18.22,37.91,33.44
Orissa,Dhenkanal,2021,72.93,19.87,39.97,35.91
Orissa,Dhenkanal,2022,76.93,26.26,47.95,45.49
Orissa,Dhenkanal,2023,77.05,26.45,48.19,45.78
Orissa,Dhenkanal,2024,78.24,28.35,50.57,48.63
Orissa,Dhenkanal,2025,79.76,30.78,53.61,52.28
Orissa,Dhenkanal,2026,79.81,30.87,53.72,52.41
Orissa,Anugul,2020,74.13,26.64,43.58,42.45
Orissa,Anugul,2021,74.9,27.86,45.11,44.28
Orissa,Anugul,2022,72.55,24.11,40.42,38.65
Orissa,Anugul,2023,73.89,26.24,43.09,41.86
Orissa,Anugul,2024,76.48,30.39,48.27,48.08
Orissa,Anugul,2025,77.21,31.56,49.73,49.83
Orissa,Anugul,2026,74.24,26.81,43.79,42.71
Orissa,Nayagarh,2020,76.42,23.06,53.19,42.43
Orissa,Nayagarh,2021,76.58,23.32,53.51,42.82
Orissa,Nayagarh,2022,79.44,27.89,59.23,49.68
Orissa,Nayagarh,2023,76.38,23.0,53.11,42.34
Orissa,Nayagarh,2024,76.04,22.45,52.43,41.52
Orissa,Nayagarh,2025,75.52,21.62,51.39,40.27
Orissa,Nayagarh,2026,82.44,32.7,65.24,56.89
Orissa,Khordha,2020,82.77,41.54,60.91,59.25
Orissa,Khordha,2021,84.77,44.73,64.9,64.04
Orissa,Khordha,2022,82.76,41.52,60.88,59.22
Orissa,Khordha,2023,85.91,46.56,67.18,66.78
Orissa,Khordha,2024,81.98,40.28,59.32,57.35
Orissa,Khordha,2025,85.11,45.28,65.59,64.87
Orissa,Khordha,2026,82.07,40.42,59.51,57.58
Orissa,Puri,2020,80.0,24.87,50.41,47.04
Orissa,Puri,2021,79.79,24.54,49.99,46.54
Orissa,Puri,2022,80.45,25.59,51.3,48.11
Orissa,Puri,2023,80.14,25.09,50.68,47.37
Orissa,Puri,2024,84.63,32.29,59.68,58.16
Orissa,Puri,2025,80.31,25.37,51.03,47.78
Orissa,Puri,2026,82.16,28.32,54.72,52.21
Orissa,Ganjam,2020,68.56,30.75,51.78,50.57
Orissa,Ganjam,2021,65.8,26.34,46.27,43.96
Orissa,Ganjam,2022,67.35,28.82,49.37,47.67
Orissa,Ganjam,2023,68.81,31.16,52.29,51.18
Orissa,Ganjam,2024,68.6,30.81,51.86,50.67
Orissa,Ganjam,2025,69.38,32.07,53.43,52.55
Orissa,Ganjam,2026,72.45,36.97,59.56,59.9
Orissa,Gajapati,2020,49.97,20.58,45.11,30.77
Orissa,Gajapati,2021,49.4,19.65,43.95,29.39
Orissa,Gajapati,2022,51.15,22.45,47.46,33.59
